date,ward,age_years,area_m2,station_walk_min,far,bcr,lat,lon,price_total_yen,price_yen_per_m2
2018-07-15,千代田区,18,53.86884934896931,5,323,70,35.684377690673706,139.8076998041621,63971683,1187545.005566821
2022-08-22,川崎市中原区,13,33.90725930372042,10,556,65,35.43620565176044,139.6423612236627,25290590,745875.3824206908
2021-12-04,川崎市中原区,11,37.395457055308114,3,286,59,35.705405654100474,139.741243337621,21615805,578032.9136779928
2020-08-19,渋谷区,14,80.55096534433957,5,213,56,35.77145790903504,139.66848517009143,78118887,969806.9621643525
2020-08-06,さいたま市大宮区,17,39.55092902471163,9,579,40,35.64639176477429,140.10494961044222,44936485,1136167.6225588392
2023-02-24,中央区,6,41.83857305854433,16,509,47,35.89798323953681,139.74654038451325,54788402,1309518.895956014
2018-07-08,中央区,32,77.04296233985576,16,653,75,35.57425138630767,139.99178482275448,81146233,1053259.513075882
2022-03-08,中央区,25,89.86080603088487,6,406,53,35.70609284983639,139.73065665037885,78687213,875656.6569518134
2019-03-18,千葉市中央区,37,40.9412004540959,9,712,68,35.675701030400084,139.79889314623023,31580972,771373.8642180075
2018-07-26,川崎市中原区,32,50.58101251854363,4,452,68,35.66796427990679,139.5617953892532,48167805,952290.2488822477
2021-02-26,中央区,7,59.09866661128611,15,642,52,35.66628133983943,139.6929391112198,52606504,890147.0543491704
2023-11-07,柏市,4,75.74437173286711,6,260,48,35.69285260360114,139.79158020061837,56580016,746986.4057958608
2022-05-31,千葉市中央区,19,43.15771505886115,16,258,67,35.78175504921565,139.99790057464398,58683751,1359751.111011403
2022-07-25,柏市,22,52.056665848694685,17,669,43,35.84532834835297,139.79329741665143,68039815,1307033.669765965
2022-04-21,千葉市中央区,11,64.32805091274093,14,700,59,35.6797299706595,139.96755805417894,75727607,1177209.7230603523
2022-09-18,中央区,35,60.21719289359943,7,765,75,35.777837928660595,139.85610936653043,46116128,765829.919728818
2021-01-28,千葉市中央区,26,50.48612714523881,19,394,68,35.595787966447986,140.00411020091968,56595143,1121003.851952968
2018-10-08,渋谷区,33,53.39412442580751,14,213,70,35.77191465432715,139.75114366740422,57554876,1077925.2702228306
2023-01-14,新宿区,5,38.50125029956022,13,787,43,35.58856101714076,140.11853340659775,39983899,1038509.1052603223
2020-09-13,中央区,36,52.141915072304016,17,560,47,35.810879192330574,139.68719056956286,62566807,1199933.0464414286
2020-12-31,柏市,10,51.80335011989254,17,348,51,35.94527690528719,139.64503072487034,55796053,1077074.2214715232
2020-03-23,川崎市中原区,20,57.78603867551507,3,658,51,35.66534993344343,139.57849207254662,63449234,1098002.8299964524
2019-02-04,中央区,20,48.33607337417181,17,742,47,35.41689478110311,140.1096537007337,52076379,1077381.2468562415
2023-07-23,横浜市西区,37,60.65846227054167,15,370,78,35.61423124801062,139.88291713589268,61759915,1018158.2698972117
2022-09-08,渋谷区,13,67.15258981383795,5,661,46,35.82782501611472,139.70988188999294,39840139,593277.7739540025
2021-11-11,さいたま市大宮区,11,56.86515193202159,7,672,68,35.74636921444303,139.947353404531,54972919,966724.2086280957
2020-05-31,渋谷区,15,59.22107690079044,15,501,63,35.709869631841,139.86315382776766,49672365,838761.5963690287
2022-12-07,川崎市中原区,16,55.63786417093441,5,579,64,35.80104020271458,140.05491912070633,38614447,694031.7996637342
2021-04-09,中央区,8,55.00101271709697,10,361,48,35.73813441270981,139.527825075089,70751285,1286363.3141432519
2020-08-29,渋谷区,8,46.34130359748583,14,757,52,35.826127022494134,139.72019598375286,60049018,1295799.0677512544
2020-09-13,柏市,11,58.7979311400797,13,789,64,35.79033084119764,139.69062179240856,71841906,1221844.1126583936
2019-05-13,渋谷区,21,53.83256081903813,18,788,51,35.86260405432844,139.4639475985387,53888691,1001042.6808628064
2018-07-21,千代田区,16,80.11801970716714,4,642,67,35.72305553006875,139.91904908071697,97754000,1220125.0150377243
2021-04-29,中央区,18,73.88025882970291,7,225,41,35.78863112817928,139.71944051662948,70364344,952410.6319415144
2023-04-29,横浜市西区,32,59.63015863067801,19,419,42,35.643144751229705,139.87094468074798,59067217,990559.447708925
2018-05-20,港区,11,45.84331348366279,12,466,69,35.60782470261292,140.11396579014942,33525477,731305.7118340168
2023-02-23,渋谷区,41,41.65106233619898,6,775,64,35.88481211685028,139.70701344622586,42875531,1029398.2576943021
2022-12-18,港区,34,69.29371543706638,7,528,41,35.705944561158724,139.6968270526014,66665902,962077.1751017882
2019-08-30,横浜市西区,8,58.15299070176566,8,521,75,35.77658566790348,139.77779962545858,40094717,689469.5615161652
2021-10-15,さいたま市大宮区,14,60.76172084069933,11,288,40,35.694848801729364,139.9080871029475,57101469,939760.5632286894
2018-12-28,柏市,9,34.06496815630969,7,676,78,35.6096181218896,139.67499304620347,31818522,934054.0655725348
2022-07-19,中央区,13,66.12926177869817,13,401,69,35.68131794710989,139.66535576043017,86597077,1309512.2290915246
2022-03-15,船橋市,17,60.45304405857235,10,255,79,35.85231928213213,139.9185783905362,68241975,1128842.6590045826
2020-02-16,新宿区,6,41.67483178702626,12,792,77,35.74662880891353,139.8167958985757,39686487,952289.0746821143
2018-05-29,千葉市中央区,1,49.34170231060061,4,314,52,35.47462322083234,139.4532907605493,49329735,999757.4605244611
2023-10-27,川崎市中原区,20,58.16460645227824,13,209,70,35.65417066521086,139.57619123007962,55770695,958842.4714221638
2020-09-03,千葉市中央区,31,55.62960158027492,18,246,48,35.89387525512456,139.98518537957406,50590516,909417.1908996437
2023-05-10,千葉市中央区,14,51.49394577035734,4,471,58,35.654344376578,139.82028924246185,37771559,733514.5604969996
2022-01-24,横浜市西区,38,53.75814078320847,7,261,49,35.463942556991896,139.6456706103444,49446180,919789.6221783897
2022-09-01,新宿区,17,51.97627146151738,14,705,59,35.90716586625071,139.73443855141474,41621576,800780.3335954201
2022-07-23,横浜市西区,40,56.83075014522962,13,507,74,35.761887101177535,139.76198550092025,39777938,699936.8809728612
2019-03-03,船橋市,11,72.65790367591788,14,394,57,35.67159845694246,139.87036000404203,76453869,1052244.3551497657
2020-03-07,柏市,24,24.200098708824427,12,201,43,35.635429871670155,139.55626049077117,24883822,1028252.9133208146
2020-10-19,柏市,34,52.15779682588379,14,487,52,35.80988223157501,139.6338576291994,30911761,592658.487918718
2020-12-26,港区,3,57.11814905646936,12,290,71,35.614961991972855,139.8009433632295,52860737,925463.0598715601
2018-04-06,川崎市中原区,41,58.5519278762452,3,786,60,35.81779077094192,139.74502481292566,67284378,1149140.2664351484
2021-04-11,港区,17,50.53702502414452,15,374,62,35.74506343428691,139.8457788773955,58716177,1161844.7459451326
2018-12-04,さいたま市大宮区,22,33.91933861025701,10,484,57,35.70936183105848,139.57557389039604,39182513,1155167.3648539667
2022-06-16,柏市,28,58.93594580456932,2,211,51,35.697461776640274,139.81356930144068,56447825,957782.6270436061
2022-02-04,千代田区,29,75.72820256997022,9,278,63,35.6590038355943,139.92373754290662,59143039,780990.9253471835
2023-07-14,さいたま市大宮区,2,36.593663141006346,9,324,65,35.80547681442511,139.8330227820724,26832678,733260.234063085
2022-06-20,柏市,39,65.36593616437825,3,231,75,35.57615886014778,139.78086676096422,66602723,1018920.9687521579
2020-03-13,船橋市,28,51.05769732252527,19,635,64,35.48536898478037,139.7456174596151,52377845,1025855.9971699372
2023-10-20,中央区,44,54.26410785005383,6,767,79,35.753732814747096,139.63477232708428,65522077,1207466.2165469471
2020-06-18,港区,21,42.365217871552616,7,791,73,35.755748599368054,139.74920021113402,49567132,1169995.918592533
2019-12-15,柏市,27,50.98652593172948,9,359,43,35.73762893830141,139.94895587793206,47088823,923554.2555508004
2023-06-07,柏市,20,70.6005351363875,16,673,55,35.72892740435417,139.74214572400996,49502188,701158.8213088003
2020-03-22,川崎市中原区,40,61.991862903852486,15,502,55,35.641535154599495,139.62652940159774,54935867,886178.6761466401
2018-06-17,柏市,37,75.78773926491934,15,227,40,35.774497924526266,139.68616293668518,75291044,993446.2319401939
2020-10-25,千代田区,40,69.12894266773233,6,254,47,35.674533024789454,139.79012754459137,62878535,909583.346330424
2022-10-09,川崎市中原区,23,60.26904014715491,17,528,70,35.62154637270218,139.70397290042283,50289763,834421.1700934813
2019-02-19,千代田区,35,75.9272143140135,16,454,54,35.64257304252935,139.83279549245947,75971021,1000576.9563177351
2020-10-10,柏市,16,60.26791790485959,10,205,45,35.9224767638531,139.83842656411235,51180025,849208.4475324673
2018-10-12,さいたま市大宮区,21,64.9358581215647,11,758,51,35.47180287015455,139.8933474770607,53532263,824386.7802560438
2022-02-12,柏市,34,51.4411485575835,2,638,50,35.73997457251549,139.97353392083974,52073389,1012290.5584370607
2020-11-07,川崎市中原区,4,55.79854979031046,15,501,46,35.47850674868516,139.90937880865584,48522501,869601.4714064493
2019-12-25,千代田区,32,46.63091412039668,19,792,44,35.66701199940124,139.6198641403778,46575930,998820.8654830416
2019-05-12,千代田区,1,66.87500721513824,10,782,70,35.627964701781494,139.62446983301356,67185361,1004640.8037589191
2021-05-21,渋谷区,26,40.860356522621615,11,784,72,35.42979660439841,139.74863427853103,29505843,722114.18379731
2022-01-06,千葉市中央区,21,64.38820410901194,10,355,59,35.72668451085205,139.6923236964141,54971543,853751.7665026169
2023-08-22,港区,21,52.71218730993809,3,728,64,35.634395432536934,139.58925099095586,65234251,1237555.3800572618
2020-08-15,船橋市,22,69.05496512160784,13,502,76,35.42809523889265,139.69374623087404,49552744,717584.0855575866
2018-12-18,新宿区,22,64.01042786477512,14,635,73,35.78074817089291,139.68882305995714,33712315,526669.1088398716
2022-12-29,横浜市西区,18,76.84775389176161,18,715,41,35.85220074135867,139.6592228390358,44389642,577630.96189541
2021-10-11,新宿区,20,63.769296293663736,18,297,78,35.85881492107559,139.7126315770767,60952095,955821.9792689846
2022-03-14,横浜市西区,25,36.13551693216111,10,468,42,35.72307477287818,139.93676762754774,34552183,956183.4431444948
2018-08-01,中央区,34,54.19656192522159,19,277,41,35.685526976629255,139.78988570618736,50211913,926477.8284142921
2019-11-16,千代田区,25,40.93591368886221,11,367,56,35.839378794507496,140.1307713614083,48829912,1192837.9654876394
2022-08-09,川崎市中原区,29,48.7806418916047,13,448,69,35.881886030240814,139.78557622790294,20265093,459723.90983409836
2022-12-28,千葉市中央区,37,73.13474119932066,12,713,43,35.81602824434508,139.71649013390942,75269308,1029186.7690467628
2020-08-11,柏市,44,62.65040573077235,19,717,51,35.56701548773243,139.7606199323982,79082832,1262287.627311509
2022-10-29,渋谷区,5,46.61283485705505,15,433,50,35.70416138238579,139.79847379676653,33768381,724443.8383452882
2023-01-18,船橋市,32,42.83539160271521,4,397,55,35.73274193731497,139.82528809357564,37439789,874038.6768782756
2020-04-28,船橋市,10,55.39338511451513,3,518,79,35.46284596372993,140.07150669887884,44282669,799421.6079853963
2023-05-21,柏市,9,40.40127820742647,9,747,53,35.73632327915449,139.63320193025336,31154669,771130.7756167284
2019-09-24,中央区,35,46.94631667124103,11,785,48,35.95275901911753,139.88885690872664,41535640,884747.5786198245
2019-06-09,船橋市,4,58.74411365861493,14,336,44,35.756792339896094,139.7911625896421,72578179,1235497.0477855918
2022-02-03,川崎市中原区,38,68.86374443328036,10,311,47,35.85680956977301,139.5243353386144,90726422,1317477.3278252624
2021-10-26,千代田区,34,62.30513766669328,11,624,45,35.701949767615446,139.8756048173142,55003732,882812.1413397274
2018-11-03,新宿区,44,27.5045258968228,18,380,62,35.671213801121944,139.95014353412057,36608855,1331012.0355220845
2022-12-29,さいたま市大宮区,30,58.65240074836312,8,319,56,35.72575256680972,139.63142353943337,56137109,957115.2805977287
2019-03-14,港区,39,55.86440287879093,10,218,59,35.58210080224187,139.75865991981618,72664963,1300738.202781139
2022-10-29,中央区,6,59.96668342447232,12,441,73,35.56434697753188,139.50119686069883,55849387,931340.267806239
2018-01-17,千葉市中央区,40,74.39451617981449,10,435,63,35.831956546860326,139.57117903104734,72624787,976211.5640951683
2022-10-12,港区,8,30.241140678343086,19,537,46,35.84468108114398,139.91720443664258,30939556,1023094.8736056467
2022-09-20,横浜市西区,14,47.90675889770673,19,320,55,35.56106724212952,139.69003752409887,75969136,1398661.4671875997
2022-09-05,新宿区,6,62.090875873520254,11,628,52,35.79615985654647,139.59367955375927,69557745,1120257.107367753
2021-12-27,横浜市西区,18,36.020867206552694,10,608,73,35.66956480292728,139.79441905466877,29124567,808547.0800298178
2020-10-29,新宿区,33,72.71138857664211,12,477,52,35.720777028938855,139.68163813528534,83167255,1143799.570164126
2022-03-25,柏市,12,59.4202793524079,5,308,45,35.73522623673221,139.68937675133367,52149227,877633.4875626387
2019-08-30,千代田区,37,65.15900783012084,9,504,69,35.799322056174915,139.8708989038512,55518730,852049.9597652795
2022-09-06,柏市,27,48.14867606173846,5,604,57,35.68992618422358,139.58573999615984,54490832,1131720.2560280024
2021-05-01,千葉市中央区,28,64.76516427959453,4,423,43,35.84921943943623,139.62419521809773,61929558,956217.106663189
2020-10-02,船橋市,42,67.82165867186846,3,358,67,35.71712954077119,139.7831119988223,68209271,1005715.1702822082
2021-01-12,船橋市,20,57.79453624164602,12,503,48,35.75490211269634,139.9054114686122,55066463,952797.0389754558
2021-05-30,新宿区,16,57.81281071238435,2,413,74,35.58000848901553,139.94572404522347,58813933,1017316.6167719502
2018-03-23,柏市,44,58.24411887138072,13,440,73,35.93903908128458,139.66024074194576,60282265,1034993.166144724
2018-11-03,川崎市中原区,25,44.63985682312742,9,409,54,35.736378990784594,139.90060654503793,25114678,562606.59839277
2019-06-22,柏市,28,53.22965583711576,8,382,62,35.76555969104141,139.64237865597943,57664459,1083314.5188173838
2018-09-08,船橋市,14,53.16972961057169,15,630,62,35.48701770265461,140.03393140203602,40068501,753596.102396451
2020-08-20,川崎市中原区,10,59.60072637224194,11,476,66,35.58127575723051,139.58993434618702,39428274,661540.158986436
2022-01-03,中央区,8,66.99789096292353,15,479,42,35.82854604255025,139.95927182161876,62865310,938317.745476339
2021-12-04,港区,10,42.29756701625909,14,591,52,35.71442693419511,139.66152708397718,40893127,966796.1985681298
2020-10-28,港区,9,53.49989163616507,2,416,46,35.45034643182053,140.06198696821917,43404396,811298.7647746808
2023-02-16,中央区,33,72.77746657190768,5,260,67,35.80459479147806,139.84869810932787,81234671,1116206.3592820477
2021-05-22,千葉市中央区,3,46.07694125424924,12,711,42,35.614746063477675,139.60759752058877,31404428,681564.9464818558
2018-06-23,横浜市西区,28,45.13299979251616,19,233,60,35.849358038305205,139.68166422806863,39203031,868611.2418900316
2022-08-03,横浜市西区,42,57.42767430197432,4,543,69,35.66945971856756,139.87717718078355,47838698,833025.1674209858
2021-06-12,新宿区,34,65.13262228582384,3,359,77,35.704564802322466,139.9178966626423,61269120,940682.5312687474
2021-10-22,川崎市中原区,18,55.13711266672791,18,328,51,35.821474549430995,139.74939266124133,55455411,1005772.8509506114
2021-05-23,さいたま市大宮区,3,70.94752708524388,19,225,40,35.57230084349744,139.7666987421445,53098648,748421.4063754703
2021-04-27,柏市,37,65.28152779079832,5,740,68,35.56085838305993,139.8737529548966,71473907,1094856.5301511604
2018-07-18,千葉市中央区,1,65.10184080268074,9,457,40,35.65642018955223,139.77976976405162,62667062,962600.4614821816
2021-05-09,川崎市中原区,30,61.64939801588912,13,405,42,35.779260735954544,139.56597427109924,35239458,571610.7396688223
2022-10-07,柏市,30,82.93183720415303,5,644,79,35.520294729686384,139.63805389630397,46299328,558281.7113532056
2019-10-28,中央区,9,52.53805973360747,7,223,74,35.47983584801331,139.79526799147274,49781710,947536.1338507084
2021-08-13,柏市,33,30.95773249520183,9,538,68,35.778846511245256,139.94232236247464,28041716,905806.5219843285
2018-03-09,中央区,8,74.2510523382057,13,496,73,35.60764260249196,140.0023973636243,69002689,929315.9736740167
2020-02-01,港区,10,49.50760682851809,7,532,43,35.632932878449566,139.8769294131157,46755157,944403.4966575564
2020-08-14,中央区,36,56.2945653321164,9,274,43,35.45718275176718,139.80309361415544,56019395,995111.955648063
2023-11-23,港区,44,70.71460821832632,7,771,52,35.598522482277765,139.87232208289737,80581411,1139529.9080383875
2019-04-15,港区,12,35.7728855072929,15,343,40,35.67909192440426,139.65998737246898,26034755,727779.0044275959
2019-08-29,船橋市,41,39.98023343072633,4,607,75,35.79164534291475,139.73701535596126,28610082,715605.6767295427
2020-06-13,千葉市中央区,41,35.784664754573754,6,648,42,35.58745238005184,139.6363803917991,26170585,731335.2012513978
2023-12-14,新宿区,34,45.47036451969491,6,406,61,35.8788851344279,139.57268860839383,45824275,1007783.3218194633
2023-02-12,船橋市,7,60.275639272203925,18,278,74,35.59785327709842,139.81003235174543,72269857,1198989.4735687557
2018-03-17,千代田区,14,61.29025411375325,19,378,69,35.598028983809776,139.7878269959877,52938360,863732.1017098031
2019-05-28,渋谷区,30,58.31529015194265,11,684,49,35.864482906227735,139.86314787267634,26222055,459723.90983409836
2022-12-05,さいたま市大宮区,44,38.0468093932916,4,743,58,35.70537521828367,139.84191677463386,23178170,609201.4118820372
2018-05-08,渋谷区,36,27.278758760408277,15,762,61,35.61375703251861,139.79639664069856,21369979,783392.6458199361
2023-02-17,千葉市中央区,19,55.65224302468459,10,335,70,35.661384024258325,139.84349249985164,46661858,838454.219703294
2019-09-09,船橋市,11,49.33868759633997,17,563,57,35.842368829305045,139.75359753556586,42841881,868322.2656935464
2023-07-03,千代田区,43,60.51262926059934,8,290,51,35.85594433835508,139.82193370928334,57953926,957716.2107833687
2019-10-05,千代田区,13,63.42344351465524,19,626,71,35.58198481848757,139.65107833959703,56297866,887650.7310264739
2020-08-09,柏市,16,56.65889718470418,16,449,75,35.674907942790504,139.81545588884586,65716837,1159867.9159915086
2021-12-20,横浜市西区,43,64.12159702451025,6,628,59,35.69081881932011,139.8602626527929,52246055,814796.5338422424
2018-10-04,横浜市西区,25,57.75053648938082,15,611,41,35.56165118673801,139.65954778578916,44903144,777536.3958438169
2021-05-04,横浜市西区,12,61.3607764672176,7,795,60,35.673317793682,139.7677748148489,64169572,1045775.0976192914
2021-01-10,中央区,1,46.54392084556141,8,493,75,35.68063874325421,139.6664596235556,29921764,642871.5814313148
2022-09-13,さいたま市大宮区,19,52.844663034022496,6,404,79,35.81682513747241,139.68102399552257,54321055,1027938.3362711003
2023-12-22,川崎市中原区,44,57.36131315988349,14,516,56,35.82489100339735,139.59126059673466,55669764,970510.62699404
2021-12-25,港区,20,64.84634170500902,6,297,46,35.64049487219692,139.94986623877497,59691803,920511.4957994482
2020-06-15,川崎市中原区,31,50.275105933305134,13,267,62,35.6543256227367,139.919852776208,63731500,1267655.210603556
2020-06-08,さいたま市大宮区,12,61.25400706878536,12,511,73,35.75971507624668,139.84061507813408,50568766,825558.4968215004
2020-07-04,港区,35,51.809934497015455,15,695,77,35.609777386128755,140.05582939279157,70568220,1362059.6259210699
2022-11-18,中央区,35,53.58949399206244,19,519,42,35.75063681820849,139.73161314551473,48493867,904913.6945981018
